Question,A,B,C,D,Answer,explanation
What is the capital of France?,Paris,London,Berlin,Madrid,A,Paris is the capital and largest city of France.
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B,Mars appears red due to iron oxide on its surface.
What is 2 + 2?,3,4,5,6,B,Basic arithmetic: 2 + 2 = 4.
Who wrote Romeo and Juliet?,Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,B,Romeo and Juliet was written by William Shakespeare around 1594.
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,D,The Pacific Ocean is the largest and deepest ocean on Earth.
What is the chemical symbol for water?,H2O,CO2,NaCl,O2,A,Water is composed of two hydrogen atoms and one oxygen atom.
What is the boiling point of water?,90°C,95°C,100°C,105°C,C,Water boils at 100 degrees Celsius at standard atmospheric pressure.
How many continents are there?,5,6,7,8,C,There are 7 continents: Africa Asia Europe North America South America Australia Antarctica.
What is the largest mammal?,Elephant,Blue Whale,Giraffe,Hippopotamus,B,The blue whale is the largest animal ever known to have existed.
What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,Plants absorb CO2 during photosynthesis and release oxygen.
